Primary Date,trans ID,from team,to team
20020729,63445,PHI,SLN
20020729,63445,SLN,PHI
20020729,63445,SLN,PHI
20020729,63445,SLN,PHI
20020729,63445,PHI,SLN
20020729,63445,PHI,SLN
20020729,63446,COL,CHA
20020729,63446,CHA,COL
20020730,63447,OAK,CLE
20020730,63447,CLE,OAK
20020730,63448,BOS,WAS
20020730,63448,BOS,WAS
20020730,63448,WAS,BOS
20020731,63449,SDN,NYN
20020731,63449,SDN,NYN
20020731,63449,NYN,SDN
20020731,63449,NYN,SDN
20020731,63449,NYN,SDN
20020731,63450,TEX,COL
20020731,63450,TEX,COL
20020731,63450,TEX,COL
20020731,63450,COL,TEX
20020731,63450,COL,TEX
20020731,63451,NYN,COL
20020731,63451,NYN,COL
20020731,63451,NYN,COL
20020731,63451,COL,NYN
20020731,63451,COL,NYN
20020731,63452,ANA,MIL
20020731,63452,MIL,ANA
20020731,63452,MIL,ANA
20020731,63453,BOS,CHA
20020731,63453,BOS,CHA
20020731,63453,CHA,BOS
20020731,63454,PIT,CHN
20020731,63454,CHN,PIT
20020805,63434,WAS,MIA
20020807,63437,SLN,CLE
20020814,63452,ANA,MIL
20020815,63455,NYN,CIN
20020815,63455,NYN,CIN
20020815,63455,CIN,NYN
20020815,63455,CIN,NYN
20020816,63456,NYN,ARI
20020816,63456,ARI,NYN
20020819,63457,TEX,SEA
20020819,63457,SEA,TEX
20020819,63457,SEA,TEX
20020820,63455,CIN,NYN
20020822,63430,OAK,DET
20020822,63458,CHN,HOU
20020822,63458,HOU,CHN
20020825,63459,CHN,SLN
20020829,63460,MIL,SLN
20020829,63460,MIL,SLN
20020829,63460,SLN,MIL
20020830,63440,CIN,DET
20020831,63461,MIL,HOU
20020831,63461,MIL,HOU
20020903,63461,HOU,MIL
20020904,63462,CHN,SFN
20020904,63462,SFN,CHN
20020904,63462,CHN,SFN
20020905,63461,HOU,MIL
20020909,63455,CIN,NYN
20020911,63458,HOU,CHN
20020911,63458,HOU,CHN
20020911,63460,SLN,MIL
20020918,63442,DET,LAN
20020920,63452,ANA,MIL
20020921,63409,CLE,ATL
20020924,63440,CIN,DET
20020924,63459,SLN,CHN
20020924,63459,SLN,CHN
20021016,63439,MIL,LAN
20021028,63463,SEA,TBA
20021028,63463,TBA,SEA
20021028,63463,SEA,TBA
20021029,63413,PHI,CLE
20021113,63464,ARI,CHN
20021113,63464,CHN,ARI
20021113,63464,CHN,ARI
20021115,63465,SDN,DET
20021115,63465,DET,SDN
20021115,63466,MIN,MIL
20021115,63466,MIN,MIL
20021115,63466,MIL,MIN
20021115,63466,MIL,MIN
20021116,63467,OAK,TOR
20021116,63467,TOR,OAK
20021116,63467,TOR,OAK
20021116,63468,COL,MIA
20021116,63468,COL,MIA
20021116,63468,COL,MIA
20021116,63468,MIA,COL
20021116,63468,MIA,COL
20021116,63468,MIA,COL
20021116,63468,MIA,COL
20021118,63469,MIA,ATL
20021118,63469,MIA,ATL
20021118,63469,ATL,MIA
20021118,63469,ATL,MIA
20021125,63470,DET,PIT
20021125,63470,PIT,DET
20021126,63471,MIL,CHN
20021203,63472,CHA,OAK
20021203,63472,CHA,OAK
20021203,63472,CHA,OAK
20021203,63472,CHA,OAK
20021203,63472,OAK,CHA
20021204,63473,LAN,CHN
20021204,63473,LAN,CHN
20021204,63473,CHN,LAN
20021204,63473,CHN,LAN
20021206,63474,CLE,TEX
20021206,63474,CLE,TEX
20021206,63474,TEX,CLE
20021206,63474,TEX,CLE
20021212,63475,CIN,BOS
20021215,63476,NYN,TBA
20021215,63477,CIN,ARI
20021215,63477,CIN,ARI
20021215,63477,ARI,OAK
20021215,63477,TOR,CIN
20021215,63478,PHI,BOS
20021215,63478,BOS,PHI
20021215,63479,SDN,SLN
20021215,63479,SLN,SDN
20021216,63470,PIT,DET
20021216,63471,CHN,MIL
20021216,63472,OAK,CHA
20021216,63472,OAK,CHA
20021216,63475,BOS,CIN
20021216,63475,BOS,CIN
20021216,63476,TBA,NYN
20021216,63476,TBA,NYN
20021216,63477,OAK,TOR
20021216,63479,SLN,SDN
20021216,63480,BOS,SDN
20021216,63480,SDN,BOS
20021216,63481,OAK,SDN
20021216,63481,SDN,OAK
20021216,63482,HOU,COL
20021216,63482,COL,HOU
20021216,63483,ATL,MIL
20021216,63483,ATL,MIL
20021216,63483,MIL,ATL
20021217,63484,ATL,SFN
20021217,63484,ATL,SFN
20021217,63484,SFN,ATL
20021220,63485,ATL,PHI
20021220,63485,PHI,ATL
20021220,63486,WAS,PIT
20021220,63486,PIT,WAS
20021220,63486,PIT,WAS
20030111,63487,MIA,DET
